Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
DR,0.00015082143308431373,0.0005881786346435547,ecoli
\ensuremath{\tt OCV_{IPS}},5.1012735658141675e-05,0.057065486907958984,ecoli
\ensuremath{\tt OCV_{DR}},5.1012735658141675e-05,0.1086421012878418,ecoli
\textsc{Slope},0.00017009035592405956,0.003064870834350586,ecoli
\ensuremath{\tt PAS{\text -}IF},5.1012735658141675e-05,7.0046772956848145,ecoli
IPS,0.00022096391396103562,0.0003139972686767578,glass
DM,0.0025734179422613546,0.002173900604248047,glass
DR,0.001830247502346914,0.0005605220794677734,glass
\ensuremath{\tt OCV_{IPS}},0.00022096391396103562,0.054848432540893555,glass
\ensuremath{\tt OCV_{DR}},0.00022096391396103562,0.1094810962677002,glass
\textsc{Slope},0.00022096391396103562,0.0020127296447753906,glass
\ensuremath{\tt PAS{\text -}IF},0.0025734179422613546,5.312665939331055,glass
IPS,3.697943234707775e-08,0.0319671630859375,letter
DM,0.0009961950260318475,0.05171823501586914,letter
DR,2.4335184998169494e-07,0.03882431983947754,letter
\ensuremath{\tt OCV_{IPS}},2.4335184998169494e-07,3.0825319290161133,letter
\ensuremath{\tt OCV_{DR}},3.697943234707775e-08,4.575032472610474,letter
\textsc{Slope},2.4335184998169494e-07,0.38547587394714355,letter
\ensuremath{\tt PAS{\text -}IF},0.0009961950260318475,77.3566906452179,letter
IPS,1.3693834095654152e-08,0.005679607391357422,optdigits
DM,0.002047494425542769,0.09010934829711914,optdigits
DR,0.00013898585438462164,0.02954578399658203,optdigits
\ensuremath{\tt OCV_{IPS}},1.3693834095654152e-08,1.0477406978607178,optdigits
\ensuremath{\tt OCV_{DR}},0.00013898585438462164,2.4386613368988037,optdigits
\textsc{Slope},1.3693834095654152e-08,0.051900386810302734,optdigits
\ensuremath{\tt PAS{\text -}IF},0.002047494425542769,14.402287006378174,optdigits
IPS,3.4613708108463754e-06,0.0012466907501220703,page-blocks
DM,0.0005363304240116872,0.007184267044067383,page-blocks
DR,3.410860296880718e-06,0.0048487186431884766,page-blocks
\ensuremath{\tt OCV_{IPS}},3.4613708108463754e-06,0.4760313034057617,page-blocks
\ensuremath{\tt OCV_{DR}},3.4613708108463754e-06,0.8034167289733887,page-blocks
\textsc{Slope},3.410860296880718e-06,0.04792165756225586,page-blocks
\ensuremath{\tt PAS{\text -}IF},3.4613708108463754e-06,12.565733909606934,page-blocks
IPS,2.419803825709967e-09,0.007816791534423828,pendigits
DM,0.0028013212600187837,0.01611328125,pendigits
DR,1.1433829802744174e-05,0.01053476333618164,pendigits
\ensuremath{\tt OCV_{IPS}},2.419803825709967e-09,0.8921937942504883,pendigits
\ensuremath{\tt OCV_{DR}},2.419803825709967e-09,1.377342939376831,pendigits
\textsc{Slope},1.1433829802744174e-05,0.12487626075744629,pendigits
\ensuremath{\tt PAS{\text -}IF},0.0028013212600187837,33.56220555305481,pendigits
