Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
B: A + one SE rule,5.168431736540909e-06,0.3024468421936035,optdigits
C: A + theory split ratio,5.168431736540909e-06,0.6960649490356445,optdigits
D: B + C,5.168431736540909e-06,0.6843907833099365,optdigits
E: D + 100 K training/test splits,5.168431736540909e-06,6.369538068771362,optdigits
IPS,1.1637146057791166e-05,0.0020322799682617188,page-blocks
DM,0.0025394160413088145,0.004373311996459961,page-blocks
DR,0.00011487134961573147,0.0015392303466796875,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.00011487134961573147,0.11482715606689453,page-blocks
B: A + one SE rule,1.1637146057791166e-05,0.06730008125305176,page-blocks
C: A + theory split ratio,0.00011487134961573147,0.21306228637695312,page-blocks
D: B + C,0.00011487134961573147,0.21332001686096191,page-blocks
E: D + 100 K training/test splits,0.00011487134961573147,2.041353225708008,page-blocks
IPS,0.00051987776596797,0.002804994583129883,pendigits
DM,0.04432945579356399,0.010656118392944336,pendigits
DR,2.6366059483431575e-06,0.00706934928894043,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,2.6366059483431575e-06,0.2777366638183594,pendigits
B: A + one SE rule,2.6366059483431575e-06,0.16461586952209473,pendigits
C: A + theory split ratio,2.6366059483431575e-06,0.497952938079834,pendigits
D: B + C,2.6366059483431575e-06,0.5173377990722656,pendigits
E: D + 100 K training/test splits,2.6366059483431575e-06,4.767093658447266,pendigits
IPS,9.083726532857256e-05,0.0031280517578125,satimage
DM,0.014197569383697248,0.008245706558227539,satimage
DR,1.1371348350113828e-06,0.004454851150512695,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,9.083726532857256e-05,0.19503998756408691,satimage
B: A + one SE rule,1.1371348350113828e-06,0.10985040664672852,satimage
C: A + theory split ratio,1.1371348350113828e-06,0.36809778213500977,satimage
D: B + C,1.1371348350113828e-06,0.3677499294281006,satimage
E: D + 100 K training/test splits,1.1371348350113828e-06,3.478299856185913,satimage
IPS,0.0003267137338785029,0.0,vehicle
DM,0.0020917128961019473,0.0,vehicle
DR,0.001008222817734849,0.0,vehicle
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0020917128961019473,0.062412261962890625,vehicle
B: A + one SE rule,0.001008222817734849,0.020700931549072266,vehicle
C: A + theory split ratio,0.001008222817734849,0.11665844917297363,vehicle
D: B + C,0.001008222817734849,0.11706256866455078,vehicle
E: D + 100 K training/test splits,0.001008222817734849,1.1554222106933594,vehicle
IPS,0.0003099588042736603,0.0009024143218994141,yeast
DM,0.00182794279776162,0.0025076866149902344,yeast
DR,0.0008910541926213236,0.0,yeast
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0008910541926213236,0.07345294952392578,yeast
B: A + one SE rule,0.0003099588042736603,0.023453474044799805,yeast
C: A + theory split ratio,0.0003099588042736603,0.16317296028137207,yeast
D: B + C,0.0008910541926213236,0.15791654586791992,yeast
E: D + 100 K training/test splits,0.0008910541926213236,1.4374301433563232,yeast
IPS,0.0004359107081138477,0.0,ecoli
DM,0.00017992500684812856,0.0026340484619140625,ecoli
DR,0.0016331753542206226,0.0,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0004359107081138477,0.05264544486999512,ecoli
B: A + one SE rule,0.00017992500684812856,0.020007610321044922,ecoli
C: A + theory split ratio,0.0016331753542206226,0.11850666999816895,ecoli
D: B + C,0.0016331753542206226,0.11639070510864258,ecoli
E: D + 100 K training/test splits,0.0016331753542206226,1.150069236755371,ecoli
IPS,0.0010824399283892532,0.0,glass
DM,0.0032165885080530188,0.0016009807586669922,glass
DR,0.0001372808274346783,0.0011074542999267578,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0010824399283892532,0.04069948196411133,glass
B: A + one SE rule,0.0032165885080530188,0.017010211944580078,glass
C: A + theory split ratio,0.0032165885080530188,0.09727668762207031,glass
D: B + C,0.0001372808274346783,0.10117483139038086,glass
E: D + 100 K training/test splits,0.0032165885080530188,0.956857442855835,glass
IPS,0.0006984297517442171,0.01250767707824707,letter
DM,0.1530494804639526,0.04026675224304199,letter
DR,0.0010782601882748548,0.031975746154785156,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0010782601882748548,0.9932205677032471,letter
B: A + one SE rule,0.0010782601882748548,0.7368078231811523,letter
C: A + theory split ratio,0.0010782601882748548,1.5095188617706299,letter
D: B + C,0.0010782601882748548,1.4664943218231201,letter
E: D + 100 K training/test splits,0.0010782601882748548,14.274018049240112,letter
IPS,4.549523587304318e-05,0.004218101501464844,optdigits
DM,0.014720323400350864,0.018979787826538086,optdigits
DR,5.012580659031673e-05,0.010202169418334961,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.014720323400350864,0.38325929641723633,optdigits
B: A + one SE rule,5.012580659031673e-05,0.24367308616638184,optdigits
C: A + theory split ratio,5.012580659031673e-05,0.6546461582183838,optdigits
D: B + C,5.012580659031673e-05,0.6611404418945312,optdigits
E: D + 100 K training/test splits,5.012580659031673e-05,6.309617042541504,optdigits
IPS,0.0015180037366921075,0.001537322998046875,page-blocks
DM,0.000306641991886606,0.0046193599700927734,page-blocks
DR,0.0001418126985775078,0.0030069351196289062,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0015180037366921075,0.10690546035766602,page-blocks
B: A + one SE rule,0.0015180037366921075,0.06749892234802246,page-blocks
C: A + theory split ratio,0.0001418126985775078,0.21431732177734375,page-blocks
D: B + C,0.000306641991886606,0.21085119247436523,page-blocks
E: D + 100 K training/test splits,0.0001418126985775078,1.9963631629943848,page-blocks
IPS,0.00024652717423360873,0.004007816314697266,pendigits
DM,0.04892651597923445,0.010997772216796875,pendigits
DR,7.001231860534672e-06,0.0005049705505371094,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.00024652717423360873,0.2966134548187256,pendigits
B: A + one SE rule,7.001231860534672e-06,0.1705639362335205,pendigits
C: A + theory split ratio,7.001231860534672e-06,0.5080444812774658,pendigits
D: B + C,7.001231860534672e-06,0.5046722888946533,pendigits
E: D + 100 K training/test splits,7.001231860534672e-06,4.7936928272247314,pendigits
IPS,0.00016669895286489504,0.0017685890197753906,satimage
DM,0.017752802853913088,0.007617473602294922,satimage
DR,0.00018263549250058152,0.0042803287506103516,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.00018263549250058152,0.22375845909118652,satimage
B: A + one SE rule,0.00018263549250058152,0.11610651016235352,satimage
C: A + theory split ratio,0.00018263549250058152,0.3950979709625244,satimage
D: B + C,0.00018263549250058152,0.3632638454437256,satimage
E: D + 100 K training/test splits,0.00018263549250058152,3.4602935314178467,satimage
IPS,0.003996983477554179,0.0,vehicle
DM,0.010085750014265385,0.0016930103302001953,vehicle
DR,0.0015927646792624878,0.0,vehicle
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.010085750014265385,0.055928707122802734,vehicle
B: A + one SE rule,0.0015927646792624878,0.02118372917175293,vehicle
C: A + theory split ratio,0.0015927646792624878,0.12520599365234375,vehicle
D: B + C,0.0015927646792624878,0.12185931205749512,vehicle
E: D + 100 K training/test splits,0.0015927646792624878,1.165968656539917,vehicle
IPS,0.0058721341463952165,0.001323699951171875,yeast
DM,3.785764952055926e-08,0.005005598068237305,yeast
DR,0.0014844226508002574,0.001001119613647461,yeast
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0058721341463952165,0.08962750434875488,yeast
B: A + one SE rule,3.785764952055926e-08,0.03677034378051758,yeast
C: A + theory split ratio,0.0014844226508002574,0.1948835849761963,yeast
D: B + C,0.0058721341463952165,0.19101691246032715,yeast
E: D + 100 K training/test splits,0.0014844226508002574,1.8619651794433594,yeast
IPS,0.0008312570356258347,0.0,ecoli
DM,0.0019935766735365663,0.0,ecoli
DR,0.0003544884624009856,0.0,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0019935766735365663,0.04764819145202637,ecoli
B: A + one SE rule,0.0019935766735365663,0.015268087387084961,ecoli
C: A + theory split ratio,0.0003544884624009856,0.09818577766418457,ecoli
D: B + C,0.0003544884624009856,0.09888386726379395,ecoli
E: D + 100 K training/test splits,0.0003544884624009856,0.9599592685699463,ecoli
IPS,0.05813824879898094,0.0,glass
DM,0.006952089124518069,0.015625,glass
DR,0.010594939561197435,0.0015134811401367188,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.006952089124518069,0.05377793312072754,glass
B: A + one SE rule,0.05813824879898094,0.023413658142089844,glass
C: A + theory split ratio,0.006952089124518069,0.12294816970825195,glass
D: B + C,0.010594939561197435,0.13347434997558594,glass
E: D + 100 K training/test splits,0.006952089124518069,1.303947925567627,glass
IPS,3.922668768049632e-06,0.017086267471313477,letter
DM,0.15102599439535386,0.04105663299560547,letter
DR,0.0001879631977852151,0.03393721580505371,letter
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0001879631977852151,1.045830249786377,letter
B: A + one SE rule,0.0001879631977852151,0.8063323497772217,letter
C: A + theory split ratio,0.0001879631977852151,1.5325722694396973,letter
D: B + C,0.0001879631977852151,1.599560260772705,letter
E: D + 100 K training/test splits,0.0001879631977852151,14.161604166030884,letter
IPS,0.003338691251371899,0.0044825077056884766,optdigits
DM,0.01505606165608186,0.020164966583251953,optdigits
DR,0.00010560673664123353,0.012855052947998047,optdigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.01505606165608186,0.4496607780456543,optdigits
B: A + one SE rule,0.00010560673664123353,0.2629714012145996,optdigits
C: A + theory split ratio,0.00010560673664123353,0.68269944190979,optdigits
D: B + C,0.00010560673664123353,0.7541255950927734,optdigits
E: D + 100 K training/test splits,0.00010560673664123353,6.30290412902832,optdigits
IPS,4.6583482240002714e-06,0.0017316341400146484,page-blocks
DM,0.0014084601393438217,0.005881309509277344,page-blocks
DR,4.598092447210144e-05,0.0025136470794677734,page-blocks
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,4.598092447210144e-05,0.1139073371887207,page-blocks
B: A + one SE rule,4.6583482240002714e-06,0.06805849075317383,page-blocks
C: A + theory split ratio,4.598092447210144e-05,0.2187349796295166,page-blocks
D: B + C,4.598092447210144e-05,0.21910762786865234,page-blocks
