name,address,stars,rating,number of ratings,total price ($),price per night ($),description,images
City Premium,Kesklinn,4,9.7,17,144,48,"Set 2.6 km from Kalarand and less than 1 km from Alexander Nevsky Cathedral in the centre of Tallinn, City Premium offers accommodation with free WiFi and free private parking. The property features city views and is less than 1 km from Toompea Castle and a 11-minute walk from Estonian National Opera. The accommodation features a lift and a shared kitchen for guests. The spacious apartment comes with 3 bedrooms, a flat-screen TV with satellite channels and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a toaster and a fridge. Towels and bed linen are featured in the apartment. This apartment is non-smoking and soundproof. Yoga classes and fitness classes are provided at the fitness room on site. Guests can also relax in the shared lounge area. Popular points of interest near the apartment include Tallinn Train Station, Maiden Tower and Niguliste Museum-Concert Hall. The nearest airport is Lennart Meri Tallinn Airport, 4 km from City Premium.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/42/5e/80/booking-6690656-304288046.jpg_k=5506bf59c7ae7eea8041476fd72b1f45747ddc370e1f96b9ae7ed58ea010a96f_o=-514298.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/42/5e/80/booking-6690656-287022536.jpg_k=15b1be08a8b864bb7e70398344ac60f9f0d81cc7e89dc2d65658424709c1b304_o=-453841.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/42/5e/80/booking-6690656-287022485.jpg_k=01b2813fcbc9e93bc708c595175689bbbaad88ea2064d879100c5169b0ee0980_o=-432725.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/42/5e/80/booking-6690656-304287548.jpg_k=d468f9a24d74112deb4688a7b4ffcfb18ff7e3400430868c95e447c3840ffbe5_o=-440139.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/42/5e/80/booking-6690656-304287308.jpg_k=c8f915282f4610f6c9513e24de65e8bb928b998fe9fe21f776c576134e570a0b_o=-345467.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Daily Apartments - Tatari street,Kesklinn,5,7.8,973,67,22.33,"Daily Apartments Tatari is located in Tallinn, 1 km from the Old Town. Free WiFi access is available. The apartments will provide you with a TV and satellite channels. Each is equipped for self-catering. Featuring a shower, private bathrooms also come with a hairdryer. Extras include a desk, bed linen and ironing facilities. If you feel like visiting the surroundings, check out Kalevi Stadium (1.2 km) and Estonian National Opera (1.1 km). The property is 1 km from Nordea Concert Hall. Lennart Meri Tallinn Airport is located 5 km from the property.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/48/45/b8/booking-1116383-194090238-698294.jpg?width=1020&height=1020&xhint=552&yhint=341&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/48/45/b8/booking-1116383-194090288-697662.jpg?width=1020&height=1020&xhint=552&yhint=341&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/78/b7/40/booking-1116383-33741423-image.jpg?width=1020&height=1020&xhint=552&yhint=341&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/78/b7/40/booking-1116383-33741152-image.jpg?width=1020&height=1020&xhint=552&yhint=341&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/28/ef/16/booking-1116383-261835368.jpg_k=625737205ac8c25968aea656eae49fea656662844a1d3e74ad96ec9c3e984ac2_o=-454859.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Gonsiori 7 Lux Apartment,Kesklinn,4,8.7,128,73,24.33,"Set 1.8 km from Kalarand and 2.2 km from Russalka Beach in the centre of Tallinn, Gonsiori 7 Lux Apartment offers accommodation with free WiFi and free private parking. The property features city views and is 1.3 km from Maiden Tower and 1.2 km from Niguliste Museum-Concert Hall. The property is soundproof and is situated 600 metres from Estonian National Opera. The 1-bedroom apartment is fitted with a living room with a flat-screen TV with satellite channels, a fully equipped kitchen with a dishwasher and oven, and 1 bathroom with walk-in shower. Towels and bed linen are featured in the apartment. This apartment is allergy-free and non-smoking. Popular points of interest near the apartment include Tallinn Town Hall, Alexander Nevsky Cathedral and Toompea Castle. The nearest airport is Lennart Meri Tallinn, 4 km from Gonsiori 7 Lux Apartment, and the property offers a paid airport shuttle service.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/6a/17/2d/booking-2992448-124916554-755197.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6a/17/2d/booking-2992448-124916583-873664.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6a/17/2d/booking-2992448-124916572-703747.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6a/17/2d/booking-2992448-124916592-960676.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6a/17/2d/booking-2992448-124916590-470992.jpg?width=1020&height=1020&xhint=512&yhint=368&crop=true&watermarkheight=28&watermarkpadding=10']"
Myapartments Kotka,Kristiine,5,9.1,330,51,17,"MyApartments Kotka is located in the Kristiine district of Tallinn, 2.5 km from Toompea Castle, 400 metres from A. Le Coq Arena and 2.7 km from Estonian National Opera. It is set 2.4 km from Alexander Nevsky Cathedral and offers a lift. Free WiFi is available and private parking can be arranged at an extra charge. The units come with parquet floors and feature a fully equipped kitchen with a microwave, a flat-screen TV, and a private bathroom with walk-in shower and free toiletries. A fridge, a stovetop and kitchenware are also featured, as well as a kettle. At the apartment complex, each unit comes with bed linen and towels. Tallinn Train Station is 2.9 km from the apartment, while Maiden Tower is 3.2 km away. The nearest airport is Lennart Meri Tallinn Airport, 6 km from MyApartments Kotka.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/c0/40/ec/booking-8010633-333182534.jpg_k=8d02e784deef672962edc928bd25963eea34467e9995934c42f820ff99baa429_o=-445766.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c0/40/ec/booking-8010633-333178018.jpg_k=7ca614d9f8d3c59e0864e0449a06516521a70acadddf1575379ac82b37b6540a_o=-251663.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c0/40/ec/booking-8010633-333178019.jpg_k=231a5351ace096edfacc7b4e47e4634fb294e413c8070f09f1f6c4a95baf8752_o=-060941.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c0/40/ec/booking-8010633-333178015.jpg_k=0e62b95d068ff42a397ef01dd5acdc4c4b0ff6c51e1f2db859ac984e063551ab_o=-205822.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c0/40/ec/booking-8010633-333178572.jpg_k=5143fcc448d63bdb5cc59cccb24452ce0e43a15cdd035547661de5c34e1e592b_o=-156972.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
U11 Hotel,"11 Uuslinna, 11415 Tallinn, Harjumaa",4,8.4,1508,40,13.33,"Featuring self-service check-in, U11 Hotel & SPA is located in Tallinn, 900 metres from Tallinn Song Festival Grounds. All rooms feature a flat-screen TV with cable channels and a private bathroom. The hotel features family rooms. Speaking English, Estonian and Russian, staff will be happy to provide guests with practical guidance on the area at the reception. Tallinn International Bus Station is 2.7 km from U11 Hotel & SPA, KUMU is 700 metres away while Kadriorg Art Museum is 900 metres away. The nearest airport is Lennart Meri Tallinn Airport, 4.2 km from the accommodation.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/de/64/4a/booking-6490054-271566391-675205.jpg?width=1020&height=1020&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/78/1f/07/booking-6490054-265598346-700596.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b5/43/76/booking-6490054-262943722-321334.jpg?width=1020&height=1020&xhint=352&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/44/23/bc/booking-6490054-266906349-432307.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6f/ae/ab/booking-6490054-262949023-413716.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Püha Vaimu külaliskorter,Kesklinn,4,8.7,12,103,34.33,"Offering free WiFi, Püha Vaimu Kiriku külaliskorter is set in the centre of Tallinn within 1.4 km of Kalarand and 2.8 km from Russalka Beach. This apartment is 200 metres from Tallinn Town Hall and 500 metres from Alexander Nevsky Cathedral. The apartment comes with 2 bedrooms and a fully fitted kitchen with a fridge. Towels and bed linen are featured in the apartment. Popular points of interest near the apartment include Maiden Tower, Estonian National Opera and Niguliste Museum-Concert Hall. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Püha Vaimu Kiriku külaliskorter.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/44/fc/b1/booking-9726819-457426710-626864.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ee/98/da/booking-9726819-457427087-668625.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/8c/e1/9f/booking-9726819-457427081-644535.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/94/47/09/booking-9726819-457427098-691479.jpg?width=1020&height=1020&xhint=352&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/7d/17/22/booking-9726819-457427120-720684.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Niguliste 6 Old Town Penthouse,Kesklinn,5,9.2,30,83,27.67,"Conveniently located in the heart of Tallinn, Niguliste 6 Old Town Penthouse offers city views and a bar. It has garden views and free WiFi throughout the property. The 1-bedroom apartment is fitted with a living room with a flat-screen TV with cable channels, a fully equipped kitchen with fridge and oven, and 1 bathroom with free toiletries. Towels and bed linen are offered in the apartment. Popular points of interest near the apartment include Kalarand, Niguliste Museum-Concert Hall and Tallinn Town Hall. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Niguliste 6 Old Town Penthouse.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/06/ba/f3/booking-9223818-135026609-661317.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/23/f4/38/booking-9223818-135026613-914573.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d2/0b/54/booking-9223818-135026624-934715.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e4/9a/70/booking-9223818-135026460-708767.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3d/5a/9b/booking-9223818-135026491-759530.jpg?width=1020&height=1020&xhint=352&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Cozy Old Town Historic House,Kesklinn,5,9.7,43,132,44,"Situated in the centre of Tallinn, just less than 1 km from Kalarand and 2.7 km from Russalka Beach, Cozy Old Town Historic House features accommodation with garden views and free WiFi. It is located less than 1 km from Maiden Tower and provides private check-in and check-out. The 1-bedroom apartment features a living room with a flat-screen TV, a fully equipped kitchen with a dishwasher and oven, and 1 bathroom with hot tub. Towels and bed linen are available in the apartment. A a baby safety gate is also available at the apartment, while guests can also relax in the garden. Popular points of interest near Cozy Old Town Historic House include Estonian National Opera, Niguliste Museum-Concert Hall and Tallinn Train Station. The nearest airport is Lennart Meri Tallinn Airport, 5 km from the accommodation.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/46/67/96/booking-9162375-403862385-283632.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/17/15/f4/booking-9162375-452650783-074041.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/27/28/68/booking-9162375-403862414-431393.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0e/17/90/booking-9162375-405364807-297190.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e1/98/c0/booking-9162375-403862404-376147.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Heart of Kalamaja Apartment,Põhja-Tallinn,5,9,164,57,19,"Set in Tallinn and only less than 1 km from Kalarand, Heart of Kalamaja Apartment offers accommodation with inner courtyard views, free WiFi and free private parking. Boasting a garden, the apartment is close to several noted attractions, around 1 km from Town Hall Square, 1.2 km from Lennusadam Seaplane Harbour and 1.3 km from Alexander Nevsky Cathedral. The property is non-smoking and is situated 700 metres from Tallinn Train Station. The air-conditioned apartment consists of 1 separate bedroom, 1 bathroom with slippers, a seating area, and a living room. Towels and bed linen are offered in the apartment. For added privacy, the accommodation features a private entrance. Popular points of interest near the apartment include Toompea Castle, Maiden Tower and Estonian National Opera. The nearest airport is Lennart Meri Tallinn Airport, 6 km from Heart of Kalamaja Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/66/c5/81/booking-1898742-75702171.jpg_k=332a44ff07bd382fa01922f4fd298c4f9c7aeac68c9a86506cbb26d48984fe40_o=-552885.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/66/c5/81/booking-1898742-75702191.jpg_k=c70f5f8f6dd4d250ed25f58e4acb7141fd9191d529dac030d93178890678d4f1_o=-905488.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/66/c5/81/booking-1898742-75702273.jpg_k=9448b7ee58edba3b4e91fc91ae8eca7f4158f5f5cc5bf60dcf60c26ac671d263_o=-260821.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/66/c5/81/booking-1898742-75702236.jpg_k=1fc045168cc42d6cf9312bc60b28db01d7fa8ac7857fed000f5bd6f7af570bcc_o=-714196.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/66/c5/81/booking-1898742-75702217.jpg_k=e41a25923bc257c0d94a8108c8f01eabbb2eaae779832d5dd0bb1706041e40d7_o=-980540.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Rumbi - Baltic Accommodations,Kesklinn,5,7.5,53,52,17.33,"While you're here, you can enjoy all the comforts of home and more, including a rainfall showerhead and a full-sized refrigerator/freezer, as well as a stovetop and free WiFi. Other amenities include towels, kitchenware and utensils, multilingual staff, and free toiletries.ExpediaRead less","['https://content.r9cdn.net/rimg/himg/e6/93/08/expediav2-4937391-16727e-303381.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/5f/8f/d6/expediav2-4937391-245ca1-223136.jpg?width=1020&height=1020&xhint=332&yhint=380&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/32/05/1e/expediav2-4937391-589a5b-274072.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/16/50/ca/expedia_group-4937391-3455c819-280661.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/cf/f4/8c/expediav2-4937391-449b91-252859.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Tobiase Residences - Luxury Apartments,Kesklinn,3,9.7,37,99,33,"Conveniently set in the centre of Tallinn, Tobiase Residences - Luxury Apartments provides free WiFi, a garden and free private parking for guests who drive. The property features garden and inner courtyard views, and is 1.6 km from Russalka Beach. Featuring family rooms, this property also provides guests with a children's playground. All units include a seating area, a flat-screen TV with satellite channels, a fully equipped kitchen, a dining area, and a private bathroom fiitted with a hair dryer, while some units feature a balcony or a patio. A dishwasher, an oven and fridge are also provided, as well as a coffee machine and a kettle. At the apartment complex, all units come with bed linen and towels. Popular points of interest near the apartment include Kadriorg Art Museum, Kadriorg Palace and Tallinn International Bus Station. The nearest airport is Lennart Meri Tallinn Airport, 3 km from Tobiase Residences - Luxury Apartments.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/d3/0a/9b/booking-1070888129-535698616-828864.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/5e/32/7c/booking-1070888129-518961147-528125.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/01/d6/4b/booking-1070888129-535698612-817151.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e3/06/96/booking-1070888129-518961209-556730.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/aa/f7/33/booking-1070888129-521667956-501010.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Serene 1BR with Sauna & Private Entrance,Kesklinn,4,9.3,6,55,18.33,"Located 600 metres from A. Le Coq Arena and 2.9 km from Alexander Nevsky Cathedral in the centre of Tallinn, Serene 1BR with Sauna & Private Entrance provides accommodation with free WiFi and free private parking. Well located in the Tallinn City-Centre district, this apartment offers a garden, as well as a sauna. The property is non-smoking and is set 2.9 km from Estonian National Opera. The 1-bedroom apartment is equipped with a living room with a flat-screen TV with cable channels, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. For added privacy, the accommodation features a private entrance. Toompea Castle is 2.9 km from the apartment, while Maiden Tower is 3.4 km away. The nearest airport is Lennart Meri Tallinn Airport, 6 km from Serene 1BR with Sauna & Private Entrance.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/8e/06/c6/booking-1070881501-521489325-323905.jpg?width=1020&height=1020&xhint=352&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/4a/a0/67/booking-1070881501-521489320-240872.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/90/e0/c8/booking-1070881501-521489291-197551.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/86/7e/9c/booking-1070881501-521489318-217274.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/70/aa/cc/booking-1070881501-521489381-499068.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Old Town - Toompea Apartment,Kesklinn,5,9.6,7,118,39.33,"Situated 1.8 km from Kalarand and 300 metres from Alexander Nevsky Cathedral in the centre of Tallinn, Old Town - Toompea Apartment features accommodation with free WiFi and free private parking. The property features sea and city views, and is 500 metres from Toompea Castle. The property is non-smoking and is set 700 metres from Tallinn Train Station. The spacious apartment has 3 bedrooms, a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 2 bathrooms with a walk-in shower. Towels and bed linen are available in the apartment. For added privacy, the accommodation has a private entrance and soundproofing. Guests can relax in the garden at the property. Popular points of interest near the apartment include Estonian National Opera, Town Hall Square and Maiden Tower. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Old Town - Toompea Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/5e/79/9d/booking-1071091479-526479415-392731.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/6f/16/b2/booking-1071091479-526479409-373452.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d0/17/29/booking-1071091479-526479453-535683.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/bf/d8/65/booking-1071091479-533884782-583280.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b0/7e/1e/booking-1071091479-526479422-456008.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
"Charming 1BR in Superb Location, Free Parking & Wi-Fi",Kesklinn,4,9.2,11,73,24.33,"Located 2.4 km from Russalka Beach and 500 metres from Tallinn International Bus Station in the centre of Tallinn, Charming 1BR in Superb Location, Free Parking & Wi-Fi provides accommodation with free WiFi and free private parking. The property is set 2.4 km from Maiden Tower, 2.5 km from Niguliste Museum-Concert Hall and 2.8 km from Alexander Nevsky Cathedral. The property is non-smoking and is situated 1.5 km from Estonian National Opera. The 1-bedroom apartment is equipped with a living room with a flat-screen TV, a fully equipped kitchen with an oven and fridge, and 1 bathroom with walk-in shower. Towels and bed linen are provided in the apartment. Popular points of interest near the apartment include Kadriorg Art Museum, Kadriorg Palace and Tallinn Town Hall. The nearest airport is Lennart Meri Tallinn Airport, 2 km from Charming 1BR in Superb Location, Free Parking & Wi-Fi.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/f5/9f/7d/booking-7921281-326724492.jpg_k=459fe44120b0467309c6baae6d6e9c32c3f5680a2311e7f2de10baf270994ff8_o=-710068.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f5/9f/7d/booking-7921281-326724485.jpg_k=65bccd8ae888999c84b2fd8088af29bae1fde23d03aa8453cffba20d9aee79ea_o=-854160.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f5/9f/7d/booking-7921281-326724511.jpg_k=e91f0e4fc3292d927f60bfbcb58799196dcc526bc5f694e9651d90c082466226_o=-881691.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f5/9f/7d/booking-7921281-326724516.jpg_k=7bad94959cef1ed9c90820501369e14c135b6c980b825b5626400bc2554a666c_o=-810786.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/f5/9f/7d/booking-7921281-326724489.jpg_k=33edc5456fa3e8a36fc3f49dea58f5d1239a6575fd699e709284837052cf0b75_o=-290205.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Cozy apartment by the Baltic Sea,Kesklinn,3,9.7,11,105,35,"Located in Tallinn, 2.8 km from Kalarand, less than 1 km from Kadriorg Art Museum and a 10-minute walk from Kadriorg Palace, Cozy apartment by the Baltic Sea provides accommodation with a terrace and free WiFi. The property is set 2.5 km from Estonian National Opera, 2.5 km from Tallinn International Bus Station and 2.9 km from Maiden Tower. The property is 500 metres from Russalka Beach, and within 3.4 km of the city centre. The 1-bedroom apartment is equipped with a living room with a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment. This apartment is non-smoking and soundproof. Niguliste Museum-Concert Hall is 3 km from the apartment, while Tallinn Town Hall is 3.2 km away. The nearest airport is Lennart Meri Tallinn, 4 km from Cozy apartment by the Baltic Sea, and the property offers a paid airport shuttle service.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/46/34/08/booking-1070900493-511638071-772264.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/13/47/97/booking-1070900493-511638109-855034.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/19/8f/62/booking-1070900493-511638060-745012.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/bc/94/1c/booking-1070900493-511638075-781228.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/4b/07/be/booking-1070900493-511638090-827260.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
