Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
\ensuremath{\tt OCV_{DM}},0.15102599439535386,1.9699947834014893,letter
IPS,0.003338691251371899,0.0049991607666015625,optdigits
DM,0.01505606165608186,0.026001453399658203,optdigits
DR,0.00010560673664123353,0.01900339126586914,optdigits
\ensuremath{\tt OCV_{DM}},0.01505606165608186,0.8879966735839844,optdigits
IPS,4.6583482240002714e-06,0.0029964447021484375,page-blocks
DM,0.0014084601393438217,0.013006448745727539,page-blocks
DR,4.598092447210144e-05,0.008996248245239258,page-blocks
\ensuremath{\tt OCV_{DM}},0.0014084601393438217,0.6489977836608887,page-blocks
IPS,0.00023775531649700325,0.014999628067016602,pendigits
DM,0.04969332377874637,0.04100298881530762,pendigits
DR,1.9852521459906098e-05,0.025003910064697266,pendigits
\ensuremath{\tt OCV_{DM}},0.04969332377874637,1.5659971237182617,pendigits
IPS,0.0013729716139430053,0.0039997100830078125,satimage
DM,0.017417265221527232,0.016995906829833984,satimage
DR,9.196753698605412e-05,0.009997844696044922,satimage
\ensuremath{\tt OCV_{DM}},0.017417265221527232,0.9590344429016113,satimage
IPS,1.0544535126862055e-06,0.001996278762817383,vehicle
DM,0.00874916025497417,0.011000394821166992,vehicle
DR,1.1806971166602813e-05,0.0029969215393066406,vehicle
\ensuremath{\tt OCV_{DM}},0.00874916025497417,0.4510021209716797,vehicle
IPS,0.000501688196528687,0.003002643585205078,yeast
DM,0.005523451812847355,0.018999099731445312,yeast
DR,0.002134697686359889,0.0060045719146728516,yeast
\ensuremath{\tt OCV_{DM}},0.005523451812847355,0.573023796081543,yeast
IPS,0.024545423172222143,0.0010020732879638672,ecoli
DM,0.0014402782415251433,0.011994361877441406,ecoli
DR,2.2443747709404956e-05,0.0029969215393066406,ecoli
\ensuremath{\tt OCV_{DM}},0.0014402782415251433,0.39299941062927246,ecoli
IPS,0.02879253329263389,0.002002239227294922,glass
DM,0.006429642201501701,0.007998943328857422,glass
DR,0.013514412992844616,0.0030002593994140625,glass
\ensuremath{\tt OCV_{DM}},0.006429642201501701,0.3069894313812256,glass
IPS,1.1184143261826047e-06,0.05000114440917969,letter
DM,0.14820996423762545,0.10899543762207031,letter
DR,0.0001240347964662713,0.07899975776672363,letter
\ensuremath{\tt OCV_{DM}},0.14820996423762545,4.097001075744629,letter
IPS,0.0029133166154491985,0.008999347686767578,optdigits
DM,0.016128967760278196,0.07199621200561523,optdigits
DR,0.0003152524836679433,0.035002946853637695,optdigits
\ensuremath{\tt OCV_{DM}},0.016128967760278196,1.7671198844909668,optdigits
IPS,0.0014431621404624691,0.004996299743652344,page-blocks
DM,0.0009671480358422504,0.016001224517822266,page-blocks
DR,5.462016318832163e-06,0.008000612258911133,page-blocks
\ensuremath{\tt OCV_{DM}},0.0009671480358422504,0.7429945468902588,page-blocks
IPS,0.0001225671398889811,0.010003805160522461,pendigits
DM,0.045605705292399205,0.03100275993347168,pendigits
DR,6.564395661953288e-05,0.019997119903564453,pendigits
\ensuremath{\tt OCV_{DM}},0.045605705292399205,1.5880019664764404,pendigits
IPS,0.00042455665853515477,0.0060002803802490234,satimage
DM,0.018502910575224938,0.02800297737121582,satimage
DR,0.0001723023181009493,0.013400554656982422,satimage
\ensuremath{\tt OCV_{DM}},0.018502910575224938,0.9940009117126465,satimage
IPS,1.0141738733001559e-05,0.0019876956939697266,vehicle
DM,0.0025634274522966993,0.009005308151245117,vehicle
DR,0.0003453491701583771,0.003996133804321289,vehicle
\ensuremath{\tt OCV_{DM}},0.0025634274522966993,0.38404035568237305,vehicle
IPS,0.00047022223835456044,0.002005338668823242,yeast
DM,0.0021631418173053106,0.012989521026611328,yeast
DR,0.0007107714872518318,0.004002809524536133,yeast
